"Country","beds","HealthPosts","HealthCenters","RuralHospitals","ProvHospitals","SpecHospitals","Hospitals"
"United Kingdom",2.5,NA,NA,NA,NA,NA,NA
"United States",NA,NA,NA,NA,NA,NA,NA
"Uruguay",2.4,17.61,1.17,NA,3.52,0.41,3.93
"Uzbekistan",4,NA,NA,NA,NA,NA,NA
"Vanuatu",NA,118.69,15.43,1.58,0.4,0.4,2.37
"Venezuela",0.9,NA,NA,NA,NA,NA,NA
"Vietnam",2.6,NA,NA,NA,NA,NA,NA
"West Bank",1.3,NA,NA,NA,NA,NA,NA
"Yemen",0.7,11.37,4.75,2.06,0.9,0.01,2.97
"Zambia",2,1.18,8.33,0.3,0.12,0.03,0.45
"Zimbabwe",1.7,0,9.41,0.37,0.08,0.08,0.52
