"Country","beds","HealthPosts","HealthCenters","RuralHospitals","ProvHospitals","SpecHospitals","Hospitals","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","cases","deads","mortality","deadsPER100k","doctors_density","nursing_density"
"Colombia",1.7,NA,NA,NA,NA,NA,NA,85140,95280,-10140,-3.3,0.585,0.761,7.116e+11,33,"35","19",67.7996516227722,7.22628086805344,16.3084268569946,76,345,919084,27985,3,56.37,2.11,1.2714
"Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,6.1143
"Costa Rica",1.1,2.11,0.7,0.27,0.29,0.29,0.84,8262,11340,-3078,-5.2,0.639,0.794,8.394e+10,30,"25","13",73.509269952774,7.32879638671875,21.2553903460503,77,666,89223,1108,1.2,22.16,2.95,3.1798
"Cote d'Ivoire",NA,NA,11.83,1.16,0.45,0.1,1.71,7121,8886,-1765,-4.4,0.331,0.516,9.716e+10,NA,NA,NA,28.4602016210556,4.45303432643414,39.3607437610626,47,20,20155,120,0.6,0.48,0.23,0.5558
"Cuba",5.3,7.53,0.64,0.15,1.46,0.43,2.04,52360,60570,-8210,-10.1,NA,NA,1.37e+11,30,"50","20",89.4421339035034,11.7113269865513,10.4826636612415,83,883,6000,123,2.1,1.08,8.3,7.7286
"Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07,8.3955
"Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,6.0979
"Dominican Republic",1.6,NA,NA,NA,NA,NA,NA,11180,12770,-1590,-2.1,0.584,0.745,1.73e+11,27,"25","18",46.0022807121277,6.13639503717422,44.7381973266602,74,199,118843,2179,1.8,20.5,1.56,1.1697
"Ecuador",1.4,2.91,0.36,0.05,0.18,0.1,0.33,32300,37700,-5400,-5.5,0.607,0.758,1.93e+11,25,"35","12",52.8208673000336,8.25742930173874,39.3985062837601,77,274,147315,12218,8.3,71.52,2.04,2.8265
"Egypt",1.4,0.38,0.25,0.5,NA,0.12,0.62,42320,62610,-20290,-8.6,0.492,0.7,1.204e+12,22.5,"22.5","14",32.9952418804169,5.28763681650162,60.0825130939484,68,35,104648,6062,5.8,6.16,0.8,1.9271
"El Salvador",1.2,9.84,0.05,0.39,0.03,0.05,0.47,5756,6751,-995,-3.6,0.521,0.667,5.117e+10,30,"30","13",63.7456119060516,7.22756013274193,29.1964501142502,76,180,30196,894,3,13.92,1.57,1.8375
"Equatorial Guinea",2.1,NA,NA,NA,NA,NA,NA,3186,3431,-245,-2.4,NA,NA,3.152e+10,NA,NA,NA,18.8326090574265,3.10709420591593,76.7920136451721,45,57,5066,83,1.6,6.34,0.4,0.5024
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,1.3267
"Estonia",4.7,37.68,NA,1.4,0.31,0.23,1.94,9772,9890,-118,-0.5,0.818,0.882,4.165e+10,0,"20","20",74.6641218662262,6.42935782670975,23.6646249890327,75,1195,3883,68,1.8,5.15,3.46,6.5272
"Eswatini",2.1,12.97,0.64,0.16,0.48,0.16,0.8,NA,NA,NA,NA,0.43,0.608,1.16e+10,27.5,"33","15",50.7453203201294,6.93037807941437,10.4967460036278,63,114,5683,113,2,9.95,0.33,3.9394
"Ethiopia",0.3,15.14,0,0.19,NA,0.03,0.22,12110,14630,-2520,-3.2,0.337,0.47,2.006e+11,NA,NA,NA,24.9451786279678,3.50255742669106,34.4089895486832,39,6,85136,1301,1.5,1.19,0.1,0.8286
"France",6,NA,NA,NA,NA,NA,NA,1334000,1412000,-78000,-3.1,0.809,0.891,2.856e+12,31,"45","20",77.0919501781464,11.3128922879696,9.38421934843063,78,3785,776097,32703,4.2,48.82,3.26,11.162
"Gabon",6.3,29.43,2.21,2.45,0.72,0.36,3.53,3122,3991,-869,-6,0.544,0.702,3.666e+10,35,"35","18",63.2851600646973,2.78074592351913,25.1563906669617,49,129,8860,54,0.6,2.55,0.68,2.946
"Georgia",2.9,13.8,NA,NA,NA,2.21,2.21,4260,4852,-592,-3.9,0.692,0.786,3.985e+10,0,"20","18",37.2146517038345,7.60165899991989,54.7619044780731,66,109,12272,93,0.8,2.49,6.13,4.8564
"Germany",8,NA,NA,NA,NA,NA,NA,1665000,1619000,46000,1.3,0.861,0.939,4.199e+12,29.65,"47.475","19",77.6598811149597,11.2468346953392,12.6729190349579,83,4589,332850,9640,2.9,11.62,4.25,13.2352
"Ghana",0.9,1.11,9.13,1.3,0.03,0.03,1.36,9236,12380,-3144,-6.9,0.427,0.596,1.34e+11,NA,NA,"3",33.4704041481018,3.26237045228481,40.2916967868805,47,22,47030,308,0.7,1.03,0.14,2.3519
"Greece",4.2,NA,NA,NA,NA,NA,NA,95360,98080,-2720,-1.3,0.766,0.872,2.993e+11,28,"45","24",60.1780295372009,8.04139003157616,34.7502082586288,75,903,22652,456,2,4.25,5.48,3.6331
"Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,3.0568
"Guatemala",0.4,3.54,0.5,0.28,0.03,0.03,0.34,8335,9600,-1265,-1.8,0.472,0.651,1.381e+11,25,"7","12",35.8447700738907,5.81384375691414,54.1341066360474,55,93,97826,3387,3.5,19.64,0.36,0.0686
"Guyana",1.7,25.64,14.76,2,1.25,0.13,3.38,939,1152,-213,-5.9,0.546,0.67,6.301e+09,30,"33⅓","16",59.8870098590851,4.94550988078117,32.4706435203552,72,138,3521,104,3,13.35,0.8,0.7869
"Honduras",0.6,17.59,0.73,0.2,0.07,0.09,0.36,4376,5086,-710,-3.1,0.464,0.623,4.63e+10,NA,NA,NA,40.0905758142471,7.85842537879944,48.7016767263412,65,79,84413,2521,3,26.29,0.31,0.7378
"Hungary",7,5.8,0.11,0.74,0.17,0.11,1.02,63630,66960,-3330,-2.5,0.777,0.845,2.896e+11,9,"15","27",68.7371075153351,6.87998980283737,26.8943250179291,74,727,38837,968,2.5,9.91,3.34,6.8037
"Iceland",3.1,17.3,1.82,2.12,0.91,0.61,3.64,9962,9735,227,0.9,0.885,0.938,1.818e+10,20,"46","24",81.8285703659058,8.32629129290581,16.480378806591,84,4935,3582,10,0.3,2.83,3.98,15.7087
"India",0.5,NA,NA,NA,NA,NA,NA,631687,808052,-176365,-5.8,0.538,0.647,9.474e+12,25.17,"30","28",27.1320134401321,3.53495962917805,62.4015033245087,55,19,7175880,109856,1.5,8.12,0.78,2.1079
"Indonesia",1,9.27,3.42,0.43,NA,NA,0.43,130600,154800,-24200,-2.4,0.583,0.707,3.25e+12,25,"30","10",48.3731865882874,2.98905447125435,34.6057176589966,57,56,336716,11935,3.5,4.46,0.38,2.0532
"Iraq",1.3,6.9,NA,NA,0.77,0.18,0.95,63970,76350,-12380,-6.4,0.552,0.689,6.493e+11,15,"15","0-300",41.8605357408524,4.16663028299809,58.0432951450348,61,88,405437,9912,2.4,25.79,0.84,1.8126
"Ireland",3,NA,NA,NA,NA,NA,NA,85410,87220,-1810,-0.6,0.872,0.942,3.533e+11,12.5,"52","23",73.2924282550812,7.18438327312469,12.2811168432236,76,4028,43351,1827,4.2,37.64,3.29,16.0996
"Israel",3,NA,0.01,NA,0.48,0.08,0.56,92820,102100,-9280,-2.7,0.809,0.906,3.171e+11,23,"50","17",63.6250734329224,7.40746408700943,22.2508862614632,82,2001,294031,2021,0.7,22.75,3.48,5.7002
"Italy",3.2,NA,NA,0.11,1.83,0.14,2.08,884500,927800,-43000,-2.3,0.776,0.883,2.317e+12,27.9,"47","22",73.897385597229,8.84025916457176,23.4858065843582,82,2129,359569,36205,10.1,59.91,3.98,6.0605
"Jamaica",1.7,NA,NA,0.4,0.29,0.07,0.75,4207,4150,57,0.4,0.604,0.726,2.606e+10,33.3,"25","20",64.6982431411743,5.98841682076454,17.2296956181526,65,199,7813,146,1.9,4.97,1.31,1.4674
"Jordan",1.5,19.25,NA,1.42,0.41,0.11,1.94,9157,11810,-2653,-6.5,0.617,0.723,8.9e+10,20,"25","16",44.8005378246307,8.11925083398819,30.4274260997772,76,153,26073,207,0.8,2.08,2.32,3.3598
"Kenya",1.4,7.55,5.99,1.41,0.04,0.02,1.47,15370,20180,-4810,-6.1,0.426,0.579,1.637e+11,30,"30","16",42.7392691373825,4.80254329741001,24.0433126688004,55,33,41619,777,1.9,1.51,0.2,1.0587
"Kuwait",2,NA,NA,NA,NA,NA,NA,52870,61390,-8520,-7.2,NA,NA,2.897e+11,0,"0","0",87.3870193958282,5.2913848310709,12.6153096556664,76,1336,111893,664,0.6,16.05,2.65,7.3489
"Latvia",5.6,NA,1.51,0.49,0.34,0.73,1.56,10130,10430,-300,-1,0.776,0.854,5.402e+10,0,"31.4","21",57.1428596973419,5.95566183328629,41.9875770807266,71,532,2765,40,1.4,2.08,3.19,4.7517
"Lebanon",2.7,2.45,0.06,0.77,1.66,0.66,3.09,10900,15990,-5090,-9.7,NA,NA,8.825e+10,17,"25","11",50.0214636325836,8.19554403424263,33.2187473773956,73,360,54624,466,0.9,6.8,2.03,1.6418
"Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43821,644,1.5,9.64,2.09,6.5305
"Lithuania",6.6,21.01,33.15,1.66,0,0.5,2.15,21180,21630,-450,-1,0.774,0.869,9.147e+10,15,"42.77","21",65.4578804969788,6.45756423473358,32.2738111019135,73,885,6248,103,1.6,3.69,4.83,7.9795
"Luxembourg",4.7,NA,NA,0.19,0.19,0.75,1.13,27600,27380,220,0.4,0.822,0.909,6.211e+10,28.69,"45.78","17",84.8564803600311,5.4810743778944,10.6895416975021,83,5230,9119,128,1.4,21.06,3.01,12.1744
"Malaysia",1.9,NA,NA,0.32,0.07,0.08,0.47,51230,60260,-9030,-2.9,NA,NA,9.333e+11,24,"28","10",50.58873295784,3.85939814150333,37.9471957683563,73,194,16220,159,1,0.5,1.54,3.4676
"Maldives",4.3,11.01,35.94,6.09,0.58,NA,6.67,960,1156,-196,-3.7,0.568,0.719,6.901e+09,15,"15","6",71.4557826519012,9.02997627854347,20.6469982862473,62,720,10943,35,0.3,6.79,3.72,6.4927
"Mauritania",NA,11.65,3.8,0.69,0.15,0.18,1.03,1248,1301,-53,-1.1,0.358,0.528,1.728e+10,NA,NA,NA,38.8010203838348,4.40315157175064,49.545481801033,41,19,7554,163,2.2,3.7,0.18,1.0673
"Mauritius",3.4,8.84,0.16,0.16,0.4,0.4,0.96,2912,3337,-425,-3.5,0.688,0.796,2.827e+10,15,"15","15",42.8672343492508,5.71872070431709,48.8656491041183,63,257,404,10,2.5,0.79,2.6,3.5152
"Mexico",1.5,102.07,NA,NA,3.46,0.06,3.51,292800,314900,-22100,-1.9,0.595,0.767,2.463e+12,30,"35","16",51.5124559402466,5.51654137670994,41.2832766771317,76,255,821045,83945,10.2,66.52,2.38,2.5076
"Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86,3.8313
"Morocco",1,NA,NA,NA,NA,NA,NA,26630,30710,-4080,-3.7,NA,NA,2.986e+11,31,"38","20",42.9053366184235,5.24520017206669,53.9362132549286,70,69,153761,2636,1.7,7.32,0.73,1.3887
