"Country","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent"
"Fiji",1446,1687,-241,-4.8,NA,NA,8.629e+09,"20","20","9"
"Finland",136800,140700,-3900,-1.6,0.876,0.925,2.449e+11,"20","56.85","24"
"France",1334000,1412000,-78000,-3.1,0.809,0.891,2.856e+12,"31","45","20"
"French Polynesia",1891,1833,58,NA,NA,NA,5.49e+09,NA,NA,NA
"Gabon",3122,3991,-869,-6,0.544,0.702,3.666e+10,"35","35","18"
"Gambia",187,370,-183,-17.6,0.293,0.466,5.556e+09,"31","30",NA
"Georgia",4260,4852,-592,-3.9,0.692,0.786,3.985e+10,"0","20","18"
"Germany",1665000,1619000,46000,1.3,0.861,0.939,4.199e+12,"29.65","47.475","19"
"Ghana",9236,12380,-3144,-6.9,0.427,0.596,1.34e+11,NA,NA,"3"
"Gibraltar",476,452,24,NA,NA,NA,2.044e+09,"10","40","0"
"Greece",95360,98080,-2720,-1.3,0.766,0.872,2.993e+11,"28","45","24"
"Greenland",1578,1876,-298,-13.5,NA,NA,2.413e+09,NA,NA,NA
"Grenada",269,285,-16,-0.5,NA,NA,1.634e+09,NA,NA,NA
"Guam",1147,1188,-41,NA,NA,NA,5.793e+09,NA,NA,NA
"Guatemala",8335,9600,-1265,-1.8,0.472,0.651,1.381e+11,"25","7","12"
"Guernsey",564,531,33,NA,NA,NA,3.465e+09,"0","20","0"
"Guinea",1559,1868,-309,-3.4,0.31,0.466,2.797e+10,NA,NA,NA
"Guinea-Bissau",226,213,-41,-3.2,0.288,0.461,3.171e+09,NA,NA,NA
"Guyana",939,1152,-213,-5.9,0.546,0.67,6.301e+09,"30","33⅓","16"
"Haiti",1580,2251,-671,-8,0.299,0.503,1.997e+10,"30","30","10"
"Honduras",4376,5086,-710,-3.1,0.464,0.623,4.63e+10,NA,NA,NA
"Hong Kong",66190,62860,3330,1,0.815,0.939,4.805e+11,"16.5","15","0"
"Hungary",63630,66960,-3330,-2.5,0.777,0.845,2.896e+11,"9","15","27"
"Iceland",9962,9735,227,0.9,0.885,0.938,1.818e+10,"20","46","24"
"India",631687,808052,-176365,-5.8,0.538,0.647,9.474e+12,"25.17","30","28"
"Indonesia",130600,154800,-24200,-2.4,0.583,0.707,3.25e+12,"25","30","10"
"Iran",77220,86260,-9020,-2.1,0.706,0.797,1.64e+12,"25","35","9"
"Iraq",63970,76350,-12380,-6.4,0.552,0.689,6.493e+11,"15","15","0-300"
"Ireland",85410,87220,-1810,-0.6,0.872,0.942,3.533e+11,"12.5","52","23"
"Isle of Man",965,943,22,NA,NA,NA,6.792e+09,"0","20","20"
"Israel",92820,102100,-9280,-2.7,0.809,0.906,3.171e+11,"23","50","17"
"Italy",884500,927800,-43000,-2.3,0.776,0.883,2.317e+12,"27.9","47","22"
"Ivory Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamaica",4207,4150,57,0.4,0.604,0.726,2.606e+10,"33.3","25","20"
"Japan",1678000,1888000,-210000,-4.6,0.882,0.915,5.443e+12,"29.74","55.945","10"
"Jersey",829,851,-22,NA,NA,NA,5.569e+09,"0","20","5"
"Jordan",9157,11810,-2653,-6.5,0.617,0.723,8.9e+10,"20","25","16"
"Kazakhstan",34130,37890,-3760,-2.4,0.759,0.817,4.786e+11,"20","10","13"
"Kenya",15370,20180,-4810,-6.1,0.426,0.579,1.637e+11,"30","30","16"
"Kiribati",198,180,18,NA,NA,NA,2.27e+08,NA,NA,NA
"Kosovo",1396,1610,-214,-3.2,NA,NA,1.96e+10,"10","10","18"
"Kuwait",52870,61390,-8520,-7.2,NA,NA,2.897e+11,"0","0","0"
"Kyrgyzstan",2050,2304,-254,-3.6,0.61,0.674,2.315e+10,NA,NA,NA
"Laos",3144,4098,-954,-5.6,0.454,0.604,4.934e+10,NA,NA,NA
"Latvia",10130,10430,-300,-1,0.776,0.854,5.402e+10,"0","31.4","21"
"Lebanon",10900,15990,-5090,-9.7,NA,NA,8.825e+10,"17","25","11"
"Lesotho",1057,1160,-103,-3.8,0.35,0.518,6.656e+09,NA,NA,NA
"Liberia",626,728,-102,-4.7,0.314,0.465,6.112e+09,"25",NA,NA
"Libya",16330,22320,-5990,-18,NA,NA,6.197e+10,NA,NA,NA
"Liechtenstein",995,890,105,1.6,NA,NA,4.978e+09,"12.5","24","7.7"
"Lithuania",21180,21630,-450,-1,0.774,0.869,9.147e+10,"15","42.77","21"
"Luxembourg",27600,27380,220,0.4,0.822,0.909,6.211e+10,"28.69","45.78","17"
"Macau",14240,10550,3690,7.2,NA,NA,7.733e+10,"12","12","0"
"Macedonia",NA,NA,NA,NA,NA,NA,3.103e+10,NA,NA,NA
"Madagascar",1292,1725,-443,-4.1,0.386,0.521,3.985e+10,NA,NA,NA
"Madeira",NA,NA,NA,NA,NA,NA,NA,"5","45.1","5"
"Malawi",1298,1612,-314,-5,0.346,0.485,2.242e+10,NA,NA,NA
"Malaysia",51230,60260,-9030,-2.9,NA,NA,9.333e+11,"24","28","10"
"Maldives",960,1156,-196,-3.7,0.568,0.719,6.901e+09,"15","15","6"
"Mali",3068,3584,-516,-3.4,0.294,0.427,4.122e+10,NA,NA,NA
"Malta",4295,4354,-59,-0.5,0.815,0.885,1.926e+10,"35",NA,"18"
"Marshall Islands",117,114,3,NA,NA,NA,1.96e+08,NA,"12","4"
"Mauritania",1248,1301,-53,-1.1,0.358,0.528,1.728e+10,NA,NA,NA
"Mauritius",2912,3337,-425,-3.5,0.688,0.796,2.827e+10,"15","15","15"
"Mexico",292800,314900,-22100,-1.9,0.595,0.767,2.463e+12,"30","35","16"
"Micronesia",214,192,22,NA,NA,NA,3.48e+08,NA,NA,NA
"Moldova",2796,3027,-231,-2.9,0.638,0.711,2.372e+10,"12","12","20"
"Monaco",915,973,-59,-0.9,NA,NA,7.672e+09,"28","0","19.6"
